"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Serpina1c",0,5.40774088602594,1,0.242,0,"Hepatocyte","Serpina1c"
"Mup20",0,5.28787663627787,0.996,0.493,0,"Hepatocyte","Mup20"
"Fabp1",0,5.27798660577744,1,0.407,0,"Hepatocyte","Fabp1"
"Serpina1e",0,5.26158762197396,0.943,0.31,0,"Hepatocyte","Serpina1e"
"Alb",0,5.11943491288716,0.994,0.464,0,"Hepatocyte","Alb"
"Apoa2",0,5.09454184849281,1,0.517,0,"Hepatocyte","Apoa2"
"Mup3",0,5.04280058299172,0.985,0.361,0,"Hepatocyte","Mup3"
"Serpina3k",0,5.04130546057601,0.977,0.256,0,"Hepatocyte","Serpina3k"
"Serpina1a",0,4.94968718881587,0.996,0.165,0,"Hepatocyte","Serpina1a"
"Ttr",0,4.9047604345946,1,0.3,0,"Hepatocyte","Ttr"
"Mup7",0,4.81540659051786,0.895,0.12,0,"Hepatocyte","Mup7"
"Apoa1",0,4.80902237224279,0.987,0.336,0,"Hepatocyte","Apoa1"
"Serpina1b",0,4.7843839004948,1,0.214,0,"Hepatocyte","Serpina1b"
"Apoc3",0,4.75510138869702,0.992,0.175,0,"Hepatocyte","Apoc3"
"Rbp4",0,4.72756382362537,0.983,0.167,0,"Hepatocyte","Rbp4"
"Trf",0,4.37766508381923,0.994,0.34,0,"Hepatocyte","Trf"
"Mgst1",0,4.31459668769988,0.971,0.177,0,"Hepatocyte","Mgst1"
"Ass1",0,4.3038836096519,0.91,0.124,0,"Hepatocyte","Ass1"
"Serpina1d",0,4.27128298763074,0.966,0.099,0,"Hepatocyte","Serpina1d"
"Ahsg",0,4.20292342399066,0.939,0.123,0,"Hepatocyte","Ahsg"
"Bhmt",0,4.19618621877021,0.904,0.059,0,"Hepatocyte","Bhmt"
"Mup11",0,4.17218540220355,0.839,0.081,0,"Hepatocyte","Mup11"
"Car3",0,4.11910898257607,0.944,0.084,0,"Hepatocyte","Car3"
"Gc",0,4.01826623826037,0.937,0.136,0,"Hepatocyte","Gc"
"Hpx",0,3.99349649820527,0.849,0.091,0,"Hepatocyte","Hpx"
"Apoc4",0,3.99287895669695,0.925,0.081,0,"Hepatocyte","Apoc4"
"Chchd10",0,3.97569139215638,0.935,0.104,0,"Hepatocyte","Chchd10"
"Aldob",0,3.94890313186557,0.933,0.127,0,"Hepatocyte","Aldob"
"Apoc1",0,3.81122506853278,1,0.503,0,"Hepatocyte","Apoc1"
"Wfdc21",0,3.7325131186719,0.812,0.062,0,"Hepatocyte","Wfdc21"
"Gnmt",0,3.70960372029105,0.929,0.091,0,"Hepatocyte","Gnmt"
"Ttc36",0,3.62562928518604,0.887,0.057,0,"Hepatocyte","Ttc36"
"Hp",0,3.59682869263727,0.835,0.086,0,"Hepatocyte","Hp"
"Cat",0,3.55944799859186,0.912,0.215,0,"Hepatocyte","Cat"
"Hpd",0,3.54864856423366,0.891,0.082,0,"Hepatocyte","Hpd"
"Mup10",0,3.54165518940528,0.672,0.036,0,"Hepatocyte","Mup10"
"Fgb",0,3.51780879400009,0.805,0.059,0,"Hepatocyte","Fgb"
"Uox",0,3.5058969115527,0.843,0.052,0,"Hepatocyte","Uox"
"Selenbp2",0,3.44885161794053,0.807,0.049,0,"Hepatocyte","Selenbp2"
"Pck1",0,3.40815709374707,0.726,0.051,0,"Hepatocyte","Pck1"
"Scp2",0,3.39037481701864,0.989,0.431,0,"Hepatocyte","Scp2"
"Dbi",0,3.37963059958028,0.962,0.372,0,"Hepatocyte","Dbi"
"Cdo1",0,3.32968844013735,0.778,0.04,0,"Hepatocyte","Cdo1"
"Fgg",0,3.3076634757031,0.734,0.046,0,"Hepatocyte","Fgg"
"Nudt7",0,3.27016491057443,0.814,0.063,0,"Hepatocyte","Nudt7"
"Phyh",0,3.26830522031883,0.872,0.098,0,"Hepatocyte","Phyh"
