,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
Clec4g1,1.66E-222,1.364820549,0.97,0.604,2.54E-218,0,Clec4g
Gpihbp11,9.44E-214,1.322338119,0.965,0.58,1.45E-209,0,Gpihbp1
Plpp11,1.62E-104,1.220024403,0.695,0.393,2.49E-100,0,Plpp1
Dnase1l31,6.76E-204,1.19899816,0.991,0.691,1.04E-199,0,Dnase1l3
Egfl71,2.68E-171,1.158068941,0.929,0.57,4.11E-167,0,Egfl7
Cldn51,1.58E-100,1.156290309,0.649,0.339,2.43E-96,0,Cldn5
Ramp21,3.47E-119,1.144559292,0.74,0.41,5.32E-115,0,Ramp2
Fam167b1,1.95E-103,1.122618559,0.646,0.335,2.99E-99,0,Fam167b
Fcgr2b1,6.50E-150,1.090966049,0.9,0.534,9.97E-146,0,Fcgr2b
S100a16,8.33E-114,1.08866161,0.729,0.402,1.28E-109,0,S100a16
Tinagl1,4.29E-126,1.075561611,0.846,0.52,6.58E-122,0,Tinagl1
Cyp4b1,2.18E-79,1.075264616,0.59,0.32,3.35E-75,0,Cyp4b1
Aqp11,4.59E-182,1.074290894,0.994,0.657,7.04E-178,0,Aqp1
Gpr1821,1.24E-138,1.057531039,0.872,0.49,1.90E-134,0,Gpr182
Ptprb1,1.18E-153,1.05249309,0.929,0.525,1.81E-149,0,Ptprb
Bmp2,4.13E-123,1.046052741,0.812,0.458,6.34E-119,0,Bmp2
Igfbp71,1.69E-175,1.044191248,0.998,0.79,2.59E-171,0,Igfbp7
Gng111,1.65E-116,1.035136669,0.792,0.459,2.53E-112,0,Gng11
Plpp31,1.07E-138,1.019429121,0.886,0.518,1.65E-134,0,Plpp3
Stab21,7.63E-127,1.013382476,0.857,0.509,1.17E-122,0,Stab2
Ifitm21,2.14E-160,1.012586446,0.969,0.765,3.29E-156,0,Ifitm2
Clec14a1,8.86E-76,0.992422332,0.576,0.316,1.36E-71,0,Clec14a
Sepp11,5.81E-202,0.974897232,1,0.922,8.91E-198,0,Sepp1
Kdr1,5.61E-130,0.968224505,0.902,0.513,8.60E-126,0,Kdr
Wnt22,1.01E-42,0.963202204,0.393,0.212,1.54E-38,0,Wnt2
Tpbgl,4.31E-72,0.963020561,0.563,0.303,6.61E-68,0,Tpbgl
Cd59a1,1.10E-68,0.95771492,0.546,0.299,1.69E-64,0,Cd59a
Cd300lg,8.23E-87,0.956516963,0.669,0.373,1.26E-82,0,Cd300lg
Tm4sf1,4.93E-60,0.944749674,0.513,0.282,7.57E-56,0,Tm4sf1
Eng1,2.77E-128,0.931109942,0.915,0.583,4.24E-124,0,Eng
Ehd31,4.63E-134,0.925756959,0.959,0.625,7.10E-130,0,Ehd3
Maf1,1.15E-128,0.914330896,0.946,0.622,1.77E-124,0,Maf
Ccdc85b1,2.35E-63,0.906845431,0.569,0.341,3.60E-59,0,Ccdc85b
Stab1,1.85E-94,0.906141611,0.769,0.459,2.84E-90,0,Stab1
Adgrf5,2.69E-94,0.905394594,0.768,0.445,4.13E-90,0,Adgrf5
Cmtm8,1.67E-63,0.905206386,0.532,0.29,2.57E-59,0,Cmtm8
Oit31,3.40E-76,0.897539835,0.633,0.349,5.22E-72,0,Oit3
Clec1b,1.64E-49,0.897188262,0.516,0.313,2.51E-45,0,Clec1b
Myct1,2.78E-49,0.895222239,0.429,0.232,4.27E-45,0,Myct1
Ctsl,1.77E-43,0.893686102,0.674,0.522,2.71E-39,0,Ctsl
Arhgap31,1.38E-59,0.892913849,0.562,0.332,2.11E-55,0,Arhgap31
Dab2,3.13E-57,0.89183073,0.555,0.333,4.80E-53,0,Dab2
Nrp11,4.56E-94,0.880938428,0.797,0.495,7.00E-90,0,Nrp1
Tspan71,1.20E-80,0.880606424,0.707,0.415,1.84E-76,0,Tspan7
Esam,9.22E-53,0.880449457,0.494,0.282,1.41E-48,0,Esam
Fcgrt,5.01E-69,0.877463257,0.711,0.496,7.68E-65,0,Fcgrt
Fkbp1a,6.58E-107,0.877417074,0.858,0.609,1.01E-102,0,Fkbp1a
Lyve11,1.45E-33,0.874197435,0.336,0.178,2.23E-29,0,Lyve1
Id3,5.63E-101,0.866232135,0.913,0.691,8.63E-97,0,Id3
Sdpr,4.13E-59,0.863778964,0.565,0.326,6.34E-55,0,Sdpr
Timp31,6.56E-74,0.855631927,0.712,0.429,1.01E-69,0,Timp3
Flt4,4.09E-65,0.854540483,0.609,0.355,6.28E-61,0,Flt4
Vamp51,3.74E-65,0.846420341,0.634,0.393,5.74E-61,0,Vamp5
Calm21,9.01E-97,0.838240949,0.898,0.706,1.38E-92,0,Calm2
F8,3.67E-45,0.833040198,0.393,0.201,5.63E-41,0,F8
1810011O10Rik,1.40E-41,0.82114757,0.417,0.234,2.15E-37,0,1810011O10Rik
Degs1,5.26E-43,0.81799027,0.568,0.399,8.07E-39,0,Degs1
Snrk,2.89E-68,0.816998867,0.669,0.411,4.44E-64,0,Snrk
Smco4,3.12E-46,0.815923666,0.463,0.268,4.78E-42,0,Smco4
Car81,1.11E-34,0.815055486,0.384,0.226,1.70E-30,0,Car8
Meis2,6.42E-46,0.814509749,0.439,0.239,9.85E-42,0,Meis2
Il6st,1.04E-76,0.813376436,0.757,0.497,1.59E-72,0,Il6st
Tcn2,2.45E-57,0.810722584,0.647,0.437,3.76E-53,0,Tcn2
Dusp3,7.44E-62,0.807369966,0.672,0.445,1.14E-57,0,Dusp3
Pecam1,9.54E-54,0.806757313,0.536,0.315,1.46E-49,0,Pecam1
Mt11,8.32E-83,0.806519557,0.885,0.659,1.28E-78,0,Mt1
Gatm,1.91E-46,0.805416282,0.537,0.341,2.92E-42,0,Gatm
Sgk1,1.48E-39,0.802729536,0.509,0.343,2.28E-35,0,Sgk1
Npr1,4.77E-51,0.802016492,0.465,0.252,7.33E-47,0,Npr1
Fabp42,6.86E-43,0.799479755,0.483,0.283,1.05E-38,0,Fabp4
S100a13,3.56E-55,0.797963201,0.651,0.467,5.46E-51,0,S100a13
Tmem2,2.40E-50,0.79657364,0.531,0.31,3.68E-46,0,Tmem2
Hspg2,3.14E-53,0.795436869,0.564,0.345,4.82E-49,0,Hspg2
Dlc1,2.44E-44,0.794374122,0.523,0.33,3.75E-40,0,Dlc1
Pde2a,8.25E-60,0.793105259,0.619,0.375,1.27E-55,0,Pde2a
Sema6a,6.85E-44,0.791694558,0.437,0.244,1.05E-39,0,Sema6a
Mt21,1.62E-32,0.790890557,0.457,0.292,2.48E-28,0,Mt2
Cd551,1.10E-52,0.790804037,0.559,0.334,1.68E-48,0,Cd55
Rasgrp3,9.20E-42,0.790692241,0.38,0.201,1.41E-37,0,Rasgrp3
Fabp51,1.70E-26,0.790029727,0.327,0.193,2.61E-22,0,Fabp5
Elk3,1.27E-45,0.787626232,0.522,0.332,1.95E-41,0,Elk3
Ltbp4,1.35E-46,0.78434833,0.595,0.401,2.07E-42,0,Ltbp4
Klf7,3.62E-34,0.782027379,0.437,0.281,5.56E-30,0,Klf7
Nrp2,2.75E-37,0.77715924,0.388,0.218,4.22E-33,0,Nrp2
Tfpi,1.12E-33,0.776777951,0.36,0.206,1.71E-29,0,Tfpi
Slc43a3,1.27E-48,0.767424921,0.616,0.413,1.96E-44,0,Slc43a3
Col13a11,1.73E-32,0.75601228,0.316,0.167,2.66E-28,0,Col13a1
Mrc1,8.47E-74,0.755323726,0.775,0.488,1.30E-69,0,Mrc1
Lpar6,3.39E-33,0.753966159,0.394,0.238,5.20E-29,0,Lpar6
Agpat5,1.42E-27,0.7480956,0.335,0.201,2.17E-23,0,Agpat5
Exoc3l2,2.10E-31,0.746070372,0.356,0.207,3.23E-27,0,Exoc3l2
Ushbp1,2.58E-28,0.73930911,0.316,0.18,3.95E-24,0,Ushbp1
Bst2,7.74E-67,0.738889585,0.781,0.586,1.19E-62,0,Bst2
Robo4,5.26E-36,0.735779193,0.387,0.219,8.07E-32,0,Robo4
Ephb4,1.92E-30,0.732334977,0.36,0.217,2.95E-26,0,Ephb4
Dpp4,2.16E-33,0.727660644,0.421,0.262,3.31E-29,0,Dpp4
