"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Spp1",2.68015421187419e-123,5.67595047238633,0.949,0.781,4.81891727294979e-119
"Mgp",1.40631096060979e-187,5.45760029144253,0.988,0.52,2.52854710717641e-183
"Serpine2",3.64768535331361e-203,4.09602421104023,0.988,0.32,6.55853826525788e-199
"S100a6",1.12844597974309e-197,3.63213104832242,0.992,0.349,2.02894587157808e-193
"Ptn",7.09398418516991e-176,3.56925753408779,0.847,0.021,1.27549835649355e-171
"Mfap4",6.21713677894527e-197,3.48407885658947,0.939,0.095,1.11784119285436e-192
"Timp1",1.25495938885842e-166,3.34705148538447,0.978,0.567,2.25641698116744e-162
"Fxyd6",1.19871949004516e-202,3.23720109267187,0.929,0.024,2.1552976431012e-198
"Eln",5.51304731983788e-133,2.68138130070335,0.862,0.283,9.91245908106851e-129
"Lpl",4.34706146749573e-151,2.55942677466771,0.99,0.936,7.81601651855732e-147
"Nbl1",3.30278531558314e-170,2.54998174562581,0.865,0.072,5.93840799741849e-166
"Dpt",7.39058482348762e-165,2.42138018275322,0.88,0.13,1.32882715126307e-160
"Fbln1",1.17180457153124e-169,2.33612885191141,0.879,0.101,2.10690461961317e-165
"Sparcl1",2.3566950945843e-172,2.32475625229248,0.983,0.765,4.23733778006256e-168
"Plat",1.64034400945822e-166,2.23131642054379,0.965,0.377,2.94933852900587e-162
"Serpina3n",2.30510279556443e-126,2.18612527399763,0.864,0.32,4.14457482642485e-122
"Cd34",1.24289762258268e-164,2.13645812701424,0.859,0.084,2.23472992540366e-160
"Col15a1",1.94324140162958e-156,2.06778021133743,0.855,0.124,3.49394804012998e-152
"Htra1",2.09443346846411e-144,1.96394930425412,0.962,0.406,3.76579137629846e-140
"Crlf1",5.63764019378833e-98,1.92070214780636,0.576,0.026,1.01364770684314e-93
"Gpx3",1.12133023506616e-95,1.88217793004381,0.661,0.108,2.01615176264895e-91
"Emp1",2.04492108782169e-155,1.85193150632404,0.977,0.646,3.6767681159034e-151
"Gas6",6.64575452983072e-129,1.83721655285785,0.789,0.113,1.19490666446356e-124
"Igfbp4",5.699893920867e-132,1.83619574484417,0.992,0.908,1.02484092697189e-127
"S100a16",1.76370159973e-157,1.82276132599501,0.872,0.138,3.17113547631454e-153
"Nkd2",3.8339514524144e-138,1.79004229295346,0.716,0.013,6.89344471144109e-134
"Col1a1",5.86611081261317e-143,1.76482272420112,0.988,0.929,1.05472672410785e-138
"Aebp1",2.40536556728131e-140,1.74570743114941,0.917,0.319,4.3248472899718e-136
"Igf1",2.184901004028e-81,1.73416990630719,0.844,0.481,3.92845200524234e-77
"Mdk",2.4401271971058e-109,1.69787435216701,0.804,0.233,4.38734870039622e-105
"Lgals1",5.89154430450615e-178,1.66444032633879,1,0.997,1.05929966595021e-173
"Ptgis",1.85600501540545e-131,1.63507846621208,0.929,0.462,3.33709701769899e-127
