"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Pam1",2.2254166260015e-114,2.48000283733984,1,0.82,4.00129909355069e-110,"6","Pam"
"Actb1",2.87521977978255e-109,1.80066987783759,1,0.999,5.16964516404902e-105,"6","Actb"
"Slc39a1",4.0503814766266e-102,1.51198084289723,0.974,0.469,7.28258589497463e-98,"6","Slc39a1"
"Spry2",6.70594431280699e-84,1.23814992151454,0.78,0.272,1.2057287874427e-79,"6","Spry2"
"Nfia",2.7390596333407e-76,1.22633822145645,0.97,0.691,4.92482922074658e-72,"6","Nfia"
"Abhd21",2.9424683635413e-65,1.17163022329909,0.789,0.327,5.29055811764727e-61,"6","Abhd2"
"Rgs51",1.82952418649025e-39,1.13437194629709,0.944,0.657,3.28948448730947e-35,"6","Rgs5"
"Cbx3",9.11276531559699e-59,0.904598011689175,0.931,0.63,1.63847520374434e-54,"6","Cbx3"
"Alkbh5",1.7351790636671e-51,0.872055061628336,0.707,0.29,3.11985195647345e-47,"6","Alkbh5"
"Kdelr21",6.8372127358338e-54,0.864091672988918,0.978,0.809,1.22933084990292e-49,"6","Kdelr2"
"Lrrc8a",1.10051363387945e-47,0.843430154679201,0.875,0.5,1.97872351371526e-43,"6","Lrrc8a"
"Marf1",3.53096378824499e-41,0.684359719661781,0.496,0.167,6.3486728912645e-37,"6","Marf1"
"Dusp31",2.11125814215879e-29,0.682645937960424,0.616,0.305,3.7960421396015e-25,"6","Dusp3"
"Inmt1",1.1544409139222e-07,0.669831671250541,0.349,0.213,0.00207568476323211,"6","Inmt"
"Notch2",1.19202280341205e-58,0.668144557622559,0.517,0.132,2.14325700053487e-54,"6","Notch2"
"Dpysl2",6.66666561201875e-29,0.661875169383021,0.853,0.612,1.19866647704097e-24,"6","Dpysl2"
"B4galt1",6.82311220770774e-30,0.641769270804199,0.612,0.305,1.22679557494585e-25,"6","B4galt1"
"Sdc41",3.60056378640838e-29,0.625882915902886,0.871,0.611,6.47381368796227e-25,"6","Sdc4"
"Tgfbi2",1.73595184524057e-26,0.625299928085838,1,0.966,3.12124141774254e-22,"6","Tgfbi"
"Rspo32",1.03665267837459e-21,0.613058358495883,0.884,0.624,1.86390151571752e-17,"6","Rspo3"
"Gatad1",9.07386026548159e-30,0.594091487781343,0.586,0.262,1.63148007573359e-25,"6","Gatad1"
"Kcnj82",3.83685285590836e-17,0.578949622442405,0.841,0.582,6.89866143492323e-13,"6","Kcnj8"
"Raph12",2.9886191022935e-23,0.530453105833584,0.974,0.874,5.37353714592371e-19,"6","Raph1"
"Fcna2",6.26170361156808e-10,0.528511429375701,0.789,0.566,1.12585430935994e-05,"6","Fcna"
"Adra2b2",6.52288900542394e-21,0.510524178204764,0.638,0.358,1.17281544317523e-16,"6","Adra2b"
"Tmf1",8.47896727908775e-23,0.509238437409625,0.496,0.234,1.52451831677998e-18,"6","Tmf1"
"Gdf22",2.35111878171577e-20,0.505002056671288,0.922,0.632,4.22731156952495e-16,"6","Gdf2"
"Cxcl122",8.32125108761273e-21,0.504008603515431,1,0.973,1.49616094555277e-16,"6","Cxcl12"
"Wtap",4.46671192928791e-16,0.501017754436802,0.608,0.395,8.03114804885966e-12,"6","Wtap"
"Gnb1",9.05405413904162e-21,0.495782650337664,0.918,0.771,1.62791893419968e-16,"6","Gnb1"
"Itpripl1",1.61287681128399e-26,0.487362896630572,0.448,0.173,2.89995250668861e-22,"6","Itpripl1"
"Abcc92",1.60104054456805e-18,0.477917055618176,0.983,0.747,2.87867089913335e-14,"6","Abcc9"
"Dcn2",8.20995712666764e-22,0.477421231074342,1,0.999,1.47615029137484e-17,"6","Dcn"
"Adamtsl22",2.09389938859738e-15,0.473948461822841,0.905,0.765,3.7648311006981e-11,"6","Adamtsl2"
"Kdm6b",1.89225648021873e-24,0.470940143167017,0.366,0.132,3.40227715143328e-20,"6","Kdm6b"
"Reln2",2.82118248419333e-15,0.469390550853896,0.978,0.742,5.0724861065796e-11,"6","Reln"
"Fbln52",2.792920367644e-12,0.468930031155153,0.892,0.725,5.02167082102391e-08,"6","Fbln5"
"Rpgrip1",2.18683062715365e-39,0.46414786594772,0.289,0.059,3.93192146762226e-35,"6","Rpgrip1"
"Angptl62",4.88056210450078e-12,0.462713862455701,0.664,0.422,8.77525066389239e-08,"6","Angptl6"
"Zscan26",1.11810151980045e-21,0.462260248217434,0.392,0.158,2.01034653260121e-17,"6","Zscan26"
"Clec14a2",6.27812944914729e-16,0.456036299109236,0.772,0.524,1.12880767495668e-11,"6","Clec14a"
"Runx1t1",5.27667802303905e-16,0.455930989767201,0.496,0.276,9.48746708542421e-12,"6","Runx1t1"
"Ptafr",1.76609242442685e-27,0.455394519355612,0.345,0.107,3.17543417911948e-23,"6","Ptafr"
"Lrat2",3.27818103276028e-15,0.448606651646505,0.978,0.817,5.89416949690298e-11,"6","Lrat"
"Mustn12",4.74240152506451e-16,0.441098372721324,0.991,0.832,8.52683794206599e-12,"6","Mustn1"
"Acp6",0.00203857285562469,0.439523288220301,0.159,0.101,1,"6","Acp6"
"Myef2",1.18757168538373e-16,0.436484598467332,0.341,0.147,2.13525389031995e-12,"6","Myef2"
"Qpct1",6.25777979226761e-12,0.435873879144395,0.716,0.532,1.12514880664972e-07,"6","Qpct"
"Slc24a5",3.88272399625731e-25,0.4326339834062,0.358,0.122,6.98113774527065e-21,"6","Slc24a5"
"Jag11",1.031149877944e-16,0.43022390725673,0.405,0.187,1.85400748054331e-12,"6","Jag1"
"Dctn4",2.96403935333146e-14,0.427650438281578,0.5,0.284,5.32934275728996e-10,"6","Dctn4"
"Rnaset2a1",4.68560140170063e-14,0.424405228040027,0.966,0.909,8.42471132025772e-10,"6","Rnaset2a"
"Adap2os",3.88664731467378e-20,0.422226646279206,0.379,0.155,6.98819187178346e-16,"6","Adap2os"
"Foxf12",7.47170380141694e-14,0.421660740645179,0.716,0.515,1.34341234349477e-09,"6","Foxf1"
"Arglu1",1.73391845605837e-11,0.418214289432175,0.466,0.288,3.11758538399295e-07,"6","Arglu1"
"Slmap2",6.83725912602088e-12,0.413151578570293,0.789,0.585,1.22933919085855e-07,"6","Slmap"
"Ecm12",2.86829681955027e-14,0.409706776616408,1,0.966,5.15719768155139e-10,"6","Ecm1"
"Klf13",3.76097608721408e-11,0.405937188235331,0.526,0.347,6.76223500481091e-07,"6","Klf13"
"Yme1l1",5.38381435636698e-12,0.405629276742537,0.491,0.308,9.68009821274783e-08,"6","Yme1l1"
"Supt16",2.7365844130233e-12,0.400304229007407,0.315,0.153,4.92037877461589e-08,"6","Supt16"
"Paip1",3.51717796610745e-17,0.394661636645888,0.379,0.17,6.3238859830612e-13,"6","Paip1"
"Gpc42",1.64124928582215e-07,0.39340154300645,0.707,0.58,0.00295096621590822,"6","Gpc4"
"Skil",2.12230640123781e-12,0.389267062559678,0.431,0.247,3.81590690942558e-08,"6","Skil"
"Nrxn12",1.92700964677155e-12,0.386793972501555,0.759,0.532,3.46476334489524e-08,"6","Nrxn1"
"Gsk3b",1.93668132217386e-09,0.385820806214969,0.599,0.452,3.48215301726861e-05,"6","Gsk3b"
"Smg7",8.70119200922446e-23,0.384566503031819,0.293,0.094,1.56447432325856e-18,"6","Smg7"
"Tubb51",4.14756560588072e-12,0.382667365875522,0.978,0.968,7.45732295937354e-08,"6","Tubb5"
"Egfem12",9.66281975577143e-13,0.380550868906012,0.444,0.241,1.7373749920877e-08,"6","Egfem1"
"Upf1",3.58256020260503e-16,0.379969884019954,0.297,0.12,6.44144324428384e-12,"6","Upf1"
"Acot2",8.52029616298698e-25,0.378878854585732,0.284,0.083,1.53194925010506e-20,"6","Acot2"
"8030462N17Rik",1.8969781526791e-26,0.378147603737493,0.297,0.086,3.41076671851703e-22,"6","8030462N17Rik"
"Zfp362",1.18153125840546e-13,0.376377469155246,0.922,0.69,2.12439320261301e-09,"6","Zfp36"
"Ccn12",1.02004725530271e-07,0.373973920342836,0.901,0.787,0.00183404496503427,"6","Ccn1"
"Wfdc12",1.09605781880559e-10,0.37284291400268,0.841,0.66,1.97071195821244e-06,"6","Wfdc1"
"St13",1.72695973489774e-13,0.372607635264858,0.797,0.62,3.10507360334613e-09,"6","St13"
"Hlx1",1.86913064758245e-08,0.37168980761361,0.599,0.437,0.000336069690435324,"6","Hlx"
"G0s22",7.08763996096895e-11,0.3714782898422,0.996,0.932,1.27435766498222e-06,"6","G0s2"
"AW1120102",1.31158433270133e-11,0.368706679078955,0.862,0.698,2.35822863019699e-07,"6","AW112010"
"Fgfr22",4.37565867127427e-08,0.365875906920671,0.845,0.714,0.000786743429095113,"6","Fgfr2"
"Ly6e2",9.69184611744458e-15,0.357262657556696,1,0.988,1.74259393191653e-10,"6","Ly6e"
"Gm2a",3.05701806543672e-11,0.353307908419097,0.487,0.294,5.49651848165522e-07,"6","Gm2a"
"Bmp52",2.21030349839164e-09,0.352834685846469,0.853,0.694,3.97412569010817e-05,"6","Bmp5"
"Hsd11b12",8.52516815838877e-13,0.352120166165769,1,0.962,1.5328252348783e-08,"6","Hsd11b1"
"Gm149642",3.4507010244206e-08,0.351983443674621,0.556,0.387,0.000620436044190824,"6","Gm14964"
"Tmem2042",8.70464707250834e-09,0.348905201152905,0.823,0.697,0.0001565095543637,"6","Tmem204"
"Ier22",1.05964229891597e-08,0.348803910593954,0.922,0.815,0.000190523685345091,"6","Ier2"
"Lhx22",4.87778364214361e-08,0.348786763290053,0.483,0.334,0.000877025498857422,"6","Lhx2"
"Mcmbp",2.58957328520588e-11,0.34849159499266,0.414,0.239,4.65605276680017e-07,"6","Mcmbp"
"Btg21",8.48497274699564e-10,0.347705304642148,0.522,0.34,1.52559809990982e-05,"6","Btg2"
"Srpx21",1.73982399378873e-08,0.347701263521947,0.793,0.688,0.000312820354083214,"6","Srpx2"
"Cyp2u1",1.29011199390199e-21,0.347257360225829,0.293,0.095,2.31962136503578e-17,"6","Cyp2u1"
"Nr2f21",1.50960639569724e-09,0.344996189294102,0.836,0.753,2.71427229946363e-05,"6","Nr2f2"
