"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Col1a1",0,3.5627666181789,1,0.916,0
"Timp1",0,3.17707916302415,0.983,0.303,0
"S100a6",0,2.97225363730802,0.988,0.294,0
"Spp1",3.76600132979188e-168,2.9260138507674,0.459,0.016,6.84169461583291e-164
"Col1a2",0,2.91304280795961,1,0.996,0
"Serpine2",0,2.89869599247501,0.992,0.29,0
"Ltbp2",0,2.83815790929133,0.94,0.082,0
"Col15a1",0,2.72072454648355,0.959,0.089,0
"Cthrc1",0,2.71706928109438,0.849,0.025,0
"Eln",1.91112689897354e-161,2.48015276359016,0.782,0.277,3.47194423736524e-157
"Col6a3",0,2.47382035810766,1,0.84,0
"Igf1",0,2.44922266803982,0.919,0.111,0
"Dpt",0,2.33885595223111,0.948,0.15,0
"Mgp",1.24416187409217e-66,2.24239644462343,0.218,0.013,2.26026887666325e-62
"Tnc",2.07454803193383e-288,2.15801855261852,0.953,0.28,3.76883140961418e-284
"Lox",0,2.13094278345145,0.957,0.171,0
"Lpl",1.08422332678628e-173,2.09233292362255,0.984,0.756,1.96970851777263e-169
"Ncam1",0,2.08477905831011,0.904,0.064,0
"Fbn2",0,2.05026442571637,0.801,0.051,0
"Fxyd6",2.89794083366167e-252,2.01416353797824,0.634,0.019,5.26468911251315e-248
"Crlf1",4.59974541201767e-301,1.92397630402538,0.728,0.02,8.3563574900125e-297
"Lgals1",5.90066151959927e-297,1.82374214294684,1,0.979,1.0719731782656e-292
"Ptn",1.08619022484558e-192,1.80088540562059,0.507,0.013,1.97328178147697e-188
"Acta2",1.92914591543932e-196,1.79363007465853,0.988,0.605,3.50467938457862e-192
"Col12a1",0,1.78057639736176,0.9,0.107,0
"Col5a2",2.02372510350452e-302,1.72983056532984,0.997,0.876,3.67650139553666e-298
"Emp1",9.63390669341796e-261,1.7154750830838,0.942,0.3,1.75019182899324e-256
"Thbs1",6.64910249275431e-166,1.6991213843129,0.97,0.628,1.20794244985868e-161
"Fzd1",4.41623714970948e-216,1.59875143932278,0.871,0.256,8.02297802987721e-212
"Nrep",5.55235957417681e-271,1.5711042751272,0.832,0.123,1.0086971638407e-266
"Col3a1",1.38893664080866e-262,1.53421176800283,1,0.997,2.52328119535709e-258
"Nupr1",3.8917241963116e-158,1.51583199067641,0.917,0.485,7.07009534743928e-154
"Palld",9.55482491298336e-191,1.48778884032044,0.929,0.44,1.73582504194169e-186
"Fstl1",1.73189760137582e-279,1.47851204651154,1,0.97,3.14633837241945e-275
"Runx1",1.9088946905038e-249,1.47244343323626,0.709,0.06,3.46788898423825e-245
"Slc7a2",3.23435460200831e-219,1.44885674012799,0.822,0.189,5.87585200546849e-215
"Fmod",1.6793549918841e-246,1.41400561782611,0.661,0.036,3.05088421375585e-242
"Loxl1",3.81766141352867e-226,1.3858205987199,0.93,0.316,6.93554548995754e-222
"Col8a1",7.64885858900894e-133,1.38547977443693,0.76,0.271,1.38956813986525e-128
"Timp3",7.39905392696767e-114,1.34372647339645,0.976,0.852,1.34418612691222e-109
"Ildr2",9.90806325536921e-225,1.33556890712499,0.626,0.038,1.79999785160292e-220
"Col4a5",3.0443305512216e-248,1.31966107109704,0.709,0.058,5.53063531240428e-244
"Tmsb4x",2.32103843201002e-246,1.31300411074908,1,1,4.2166305194326e-242
"Sec61b",8.71033147348065e-239,1.29768380696155,0.987,0.935,1.58240591878723e-234
"Gas6",1.01059319261887e-205,1.28980515391879,0.648,0.062,1.83594465303071e-201
"Fkbp11",1.50401878592224e-232,1.27298973723455,0.752,0.112,2.73235092838493e-228
"Rgs16",9.48795732180586e-167,1.26529660908237,0.589,0.075,1.72367720665247e-162
"Mfap4",3.49979612225095e-220,1.2485885685258,0.621,0.036,6.3580796152933e-216
"Postn",1.45697276158959e-129,1.21876140254906,0.962,0.794,2.64688241597981e-125
"Fam180a",4.59867835955789e-190,1.2086893624373,0.681,0.104,8.35441897580882e-186
"Plat",1.52105126710999e-176,1.19862107914221,0.887,0.321,2.76329383695872e-172
"Csrp2",7.74734505608008e-108,1.19046765204029,0.974,0.847,1.40746017633807e-103
"Adamtsl2",4.63597847145454e-137,1.16511668712937,0.899,0.447,8.42218208909147e-133
"Mmp14",4.13305521245549e-159,1.16212874700868,0.908,0.444,7.50852140446788e-155
"F2r",6.9180947653974e-147,1.14857930136929,0.944,0.627,1.25681027602975e-142
"Htra1",1.51673808242959e-137,1.12582999076307,0.709,0.18,2.75545807434984e-133
"Sec61g",5.55160807612103e-227,1.12501729943296,0.99,0.958,1.00856063918891e-222
"Phldb2",6.00271150731561e-158,1.1171796640492,0.829,0.312,1.09051259953403e-153
"Col5a1",1.60574907422983e-180,1.09928663173224,0.996,0.916,2.91716434315333e-176
"Sparcl1",1.00180404688525e-116,1.09863951909813,0.966,0.746,1.81997741197643e-112
"Mrc2",1.76464478210946e-168,1.09849231182451,0.928,0.448,3.20583017565825e-164
"Nme2",6.05354305991687e-263,1.08752898915773,0.999,0.994,1.0997471676951e-258
"Lmna",1.29850655705328e-156,1.07324254763908,0.958,0.685,2.3589968621987e-152
"Aebp1",2.91067701398647e-151,1.07309630834849,0.93,0.535,5.28782693130921e-147
"Itgb5",1.44428049269984e-140,1.07253662426478,0.969,0.736,2.6238243710878e-136
"Serpinh1",1.12808179815333e-235,1.06463744550656,1,0.993,2.04938620270516e-231
"Col6a2",4.79155231318524e-134,1.05688149747814,0.92,0.552,8.70481308736363e-130
"Mfap2",1.03860584462291e-152,1.04954147699888,0.812,0.27,1.88683523792644e-148
"Hdlbp",3.84632828230337e-163,1.03893255943656,0.975,0.784,6.98762459046053e-159
"Vcan",1.3296826085087e-208,1.03139258106428,0.615,0.045,2.41563439487776e-204
"Ostc",1.56657833755546e-168,1.02719281218733,0.983,0.859,2.84600286583701e-164
"Vamp5",9.15225537614405e-134,1.02597796476574,0.848,0.391,1.66269023418409e-129
"Colec12",8.47091852230443e-192,1.01734145375833,0.643,0.074,1.53891176794705e-187
"Cd34",1.40963867510085e-155,1.00960264635568,0.636,0.116,2.56089058105572e-151
"Gpx3",1.07040908080462e-119,0.997523423062299,0.707,0.224,1.94461217709776e-115
"Tgfbr2",8.80648000202415e-129,0.986404999927267,0.894,0.507,1.59987322196773e-124
"Plod2",3.62383902089626e-130,0.984966887552689,0.879,0.434,6.58342834926224e-126
"Kdelr3",1.35148704424137e-158,0.974219372170007,0.853,0.317,2.45524651327329e-154
"Cpxm1",2.52642739423232e-126,0.964290951044509,0.787,0.288,4.58976064710185e-122
"Sfrp1",1.52207955910078e-135,0.952957911197505,0.377,0.011,2.76516193501839e-131
"Mtus2",6.23231826869723e-176,0.952314548647976,0.696,0.122,1.13222525987423e-171
"Ch25h",2.40576088621405e-130,0.951766136928552,0.462,0.051,4.37054580198507e-126
"Ssr4",1.83107620740095e-192,0.943795508149816,0.996,0.962,3.3265161459853e-188
"Cxcl14",2.60735892096633e-28,0.941764337367434,0.864,0.781,4.73678895171953e-24
"Pdgfrl",3.97208813736042e-142,0.941457238237852,0.736,0.201,7.21609251914267e-138
"Rpl41",2.28869837852819e-263,0.940124732859388,1,1,4.15787834427216e-259
"Gabarap",4.93210390269334e-186,0.930578863096918,0.986,0.955,8.96015316002299e-182
