,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
Igfbp4,0,1.116309311,0.997,0.822,0,0,Igfbp4
Ildr2,0,0.901517166,0.848,0.44,0,0,Ildr2
Igf1,0,0.817019478,0.94,0.626,0,0,Igf1
Sparcl1,0,0.780271039,0.993,0.852,0,0,Sparcl1
Gas6,0,0.77737739,0.931,0.516,0,0,Gas6
Ltbp2,0,0.777118823,0.94,0.602,0,0,Ltbp2
Adamts5,0,0.741398151,0.977,0.82,0,0,Adamts5
Alcam,0,0.721102813,0.984,0.739,0,0,Alcam
Htra1,0,0.656210051,0.871,0.532,0,0,Htra1
Itga8,0,0.655743012,0.979,0.813,0,0,Itga8
Mmp2,0,0.609556659,0.961,0.729,0,0,Mmp2
Fam180a,1.39E-307,0.664038348,0.852,0.527,2.53E-303,0,Fam180a
Mdk,7.00E-299,0.738986785,0.75,0.425,1.27E-294,0,Mdk
Cpxm1,3.93E-286,0.639408848,0.877,0.631,7.15E-282,0,Cpxm1
Colec12,1.98E-280,0.581943167,0.787,0.465,3.59E-276,0,Colec12
Lpl,1.06E-274,0.636302363,0.983,0.864,1.93E-270,0,Lpl
Ccdc80,3.17E-273,0.494215377,0.999,0.96,5.76E-269,0,Ccdc80
Id3,1.97E-254,0.498484797,0.999,0.979,3.58E-250,0,Id3
Lum,2.87E-254,0.511907317,0.999,0.925,5.21E-250,0,Lum
Gpx3,8.18E-250,0.557342803,0.863,0.555,1.49E-245,0,Gpx3
Fhl2,3.68E-240,0.566999634,0.928,0.739,6.68E-236,0,Fhl2
Cebpb,6.14E-240,0.586830916,0.994,0.942,1.11E-235,0,Cebpb
C4b,3.07E-227,0.6721317,0.799,0.546,5.58E-223,0,C4b
Plce1,6.93E-226,0.553683971,0.624,0.332,1.26E-221,0,Plce1
Serpine2,1.24E-225,0.519280011,0.966,0.72,2.26E-221,0,Serpine2
Dpt,1.72E-222,0.539495342,0.934,0.658,3.13E-218,0,Dpt
Plxna4,1.82E-214,0.527040336,0.631,0.344,3.31E-210,0,Plxna4
Scube1,1.23E-206,0.521469498,0.671,0.423,2.23E-202,0,Scube1
Rpl22l1,3.58E-206,0.353164252,0.998,0.968,6.50E-202,0,Rpl22l1
Adamtsl1,2.38E-204,0.510536223,0.658,0.395,4.33E-200,0,Adamtsl1
Svep1,2.43E-204,0.507796657,0.741,0.487,4.41E-200,0,Svep1
Olfml3,2.12E-197,0.467073458,0.967,0.864,3.85E-193,0,Olfml3
Nr4a1,1.54E-193,0.46373588,0.98,0.874,2.79E-189,0,Nr4a1
Capn6,4.78E-191,0.495011862,0.585,0.321,8.68E-187,0,Capn6
Gsn,5.91E-185,0.50846646,0.916,0.738,1.07E-180,0,Gsn
Fbn2,5.98E-184,0.494753545,0.754,0.469,1.09E-179,0,Fbn2
Myo10,1.01E-181,0.418695459,0.976,0.901,1.84E-177,0,Myo10
Col4a5,1.67E-177,0.449756273,0.751,0.476,3.03E-173,0,Col4a5
Wt1,1.65E-174,0.400291488,0.641,0.363,3.00E-170,0,Wt1
Mylk,3.84E-173,0.382271868,0.995,0.926,6.98E-169,0,Mylk
Phldb2,2.20E-172,0.469865734,0.846,0.649,4.01E-168,0,Phldb2
Ncam1,5.12E-161,0.409289187,0.83,0.555,9.31E-157,0,Ncam1
Zfp36,5.94E-160,0.45034729,0.989,0.947,1.08E-155,0,Zfp36
Gadd45b,4.97E-159,0.589766646,0.931,0.825,9.02E-155,0,Gadd45b
Mtss1,1.67E-158,0.45802229,0.851,0.68,3.04E-154,0,Mtss1
Fmod,2.49E-151,0.512089147,0.604,0.364,4.52E-147,0,Fmod
Cfh,3.93E-150,0.370630919,0.989,0.911,7.14E-146,0,Cfh
Fzd1,9.31E-147,0.392039195,0.789,0.577,1.69E-142,0,Fzd1
Plagl1,1.17E-146,0.487487386,0.541,0.315,2.13E-142,0,Plagl1
Tiparp,1.36E-146,0.504411368,0.799,0.628,2.46E-142,0,Tiparp
Col12a1,1.67E-144,0.453684315,0.756,0.541,3.04E-140,0,Col12a1
Slc7a2,6.57E-143,0.361702901,0.822,0.573,1.19E-138,0,Slc7a2
Cpz,2.03E-142,0.422596551,0.66,0.456,3.70E-138,0,Cpz
Col1a1,3.43E-142,0.409643034,1,0.952,6.23E-138,0,Col1a1
Lbh,3.40E-141,0.342643739,0.994,0.931,6.17E-137,0,Lbh
Wnt4,5.60E-141,0.495666064,0.752,0.559,1.02E-136,0,Wnt4
Wnt5a,4.47E-140,0.423879107,0.714,0.504,8.12E-136,0,Wnt5a
Zfp36l1,6.12E-140,0.395419255,0.992,0.935,1.11E-135,0,Zfp36l1
Col6a1,1.11E-138,0.355026096,0.983,0.901,2.02E-134,0,Col6a1
Maf,2.50E-138,0.2808328,0.868,0.674,4.53E-134,0,Maf
Csrp1,4.05E-138,0.374367644,0.98,0.903,7.35E-134,0,Csrp1
Sned1,5.34E-135,0.429969718,0.479,0.272,9.69E-131,0,Sned1
Col1a2,5.85E-132,0.38052153,0.999,0.968,1.06E-127,0,Col1a2
Eln,1.86E-131,0.294319208,0.809,0.601,3.37E-127,0,Eln
Lgi2,1.73E-128,0.357232247,0.64,0.405,3.15E-124,0,Lgi2
Hk2,5.98E-126,0.41640144,0.849,0.695,1.09E-121,0,Hk2
Myh10,6.17E-125,0.416795972,0.817,0.66,1.12E-120,0,Myh10
Nfil3,1.09E-123,0.391290551,0.503,0.301,1.98E-119,0,Nfil3
Rps26,9.78E-120,0.252831551,0.999,0.973,1.78E-115,0,Rps26
Tcf21,2.53E-117,0.447609036,0.94,0.839,4.59E-113,0,Tcf21
Fgl2,5.39E-117,0.375423575,0.536,0.3,9.78E-113,0,Fgl2
Mxra8,1.61E-115,0.338989356,0.962,0.872,2.92E-111,0,Mxra8
Thbs1,4.23E-115,0.400811223,0.939,0.8,7.68E-111,0,Thbs1
Rps21,2.15E-113,0.263577418,1,0.986,3.90E-109,0,Rps21
Col6a6,3.69E-112,0.343397666,0.321,0.147,6.71E-108,0,Col6a6
Ctsk,2.76E-110,0.341286123,0.776,0.628,5.02E-106,0,Ctsk
Loxl1,5.61E-109,0.321564303,0.897,0.721,1.02E-104,0,Loxl1
Smoc2,8.17E-109,0.309262335,0.819,0.614,1.49E-104,0,Smoc2
Nr4a2,3.75E-107,0.396169184,0.565,0.36,6.81E-103,0,Nr4a2
Islr,1.96E-106,0.372435932,0.876,0.743,3.56E-102,0,Islr
Bambi,6.56E-105,0.433565966,0.895,0.777,1.19E-100,0,Bambi
Klf9,1.70E-104,0.34384482,0.952,0.877,3.09E-100,0,Klf9
Col6a2,9.96E-103,0.314739805,0.913,0.777,1.81E-98,0,Col6a2
Rasl11b,8.67E-100,0.464146127,0.497,0.325,1.58E-95,0,Rasl11b
Palld,1.39E-99,0.322209224,0.881,0.734,2.53E-95,0,Palld
Srpx,5.90E-99,0.330857252,0.561,0.384,1.07E-94,0,Srpx
Trf,1.27E-97,0.33007329,0.679,0.526,2.31E-93,0,Trf
Nr4a3,6.01E-96,0.382228706,0.696,0.516,1.09E-91,0,Nr4a3
Cgnl1,2.44E-95,0.321188954,0.448,0.274,4.42E-91,0,Cgnl1
Emp1,1.13E-94,0.308522915,0.861,0.681,2.06E-90,0,Emp1
Plat,1.19E-94,0.328815937,0.856,0.685,2.17E-90,0,Plat
Mrc2,8.32E-94,0.298464111,0.878,0.732,1.51E-89,0,Mrc2
Vstm4,1.20E-92,0.315526072,0.74,0.577,2.18E-88,0,Vstm4
Pim1,1.96E-92,0.323248076,0.849,0.714,3.55E-88,0,Pim1
Sgk1,1.19E-91,0.352245087,0.898,0.803,2.16E-87,0,Sgk1
Fosl2,2.55E-91,0.295099251,0.793,0.652,4.63E-87,0,Fosl2
Sytl2,3.25E-91,0.311994101,0.651,0.483,5.91E-87,0,Sytl2
Smim1,6.79E-91,0.28573563,0.871,0.748,1.23E-86,0,Smim1
Cxcl12,2.08E-90,0.2980624,0.996,0.928,3.77E-86,0,Cxcl12
Plekha6,6.63E-89,0.325950144,0.819,0.684,1.20E-84,0,Plekha6
Bicc1,3.63E-88,0.280851014,0.937,0.824,6.60E-84,0,Bicc1
Pbx1,3.87E-87,0.295587603,0.894,0.772,7.03E-83,0,Pbx1
Tbx20,4.48E-86,0.340373582,0.774,0.64,8.15E-82,0,Tbx20
Ano1,8.17E-84,0.39485681,0.554,0.4,1.48E-79,0,Ano1
Daam2,2.24E-83,0.305379855,0.67,0.515,4.08E-79,0,Daam2
Itm2a,5.28E-83,0.339493627,0.307,0.161,9.59E-79,0,Itm2a
Tmem100,7.24E-83,0.376229718,0.353,0.197,1.32E-78,0,Tmem100
Tnfaip2,1.60E-82,0.454323639,0.569,0.419,2.91E-78,0,Tnfaip2
Klf2,7.41E-82,0.357392073,0.966,0.914,1.35E-77,0,Klf2
Pdlim2,1.25E-81,0.297024505,0.942,0.864,2.28E-77,0,Pdlim2
Psd,1.72E-81,0.268648083,0.301,0.161,3.13E-77,0,Psd
Fndc5,3.54E-81,0.255797938,0.394,0.23,6.44E-77,0,Fndc5
Ptk7,4.35E-79,0.296875871,0.547,0.396,7.91E-75,0,Ptk7
Pdgfra,1.60E-78,0.308018097,0.9,0.794,2.90E-74,0,Pdgfra
Irf2bp2,3.61E-78,0.295906792,0.826,0.722,6.55E-74,0,Irf2bp2
Errfi1,7.00E-78,0.377606874,0.844,0.734,1.27E-73,0,Errfi1
Tmem178,2.06E-76,0.273474982,0.448,0.285,3.74E-72,0,Tmem178
Filip1l,2.53E-76,0.311825767,0.871,0.786,4.60E-72,0,Filip1l
Abracl,2.77E-75,0.265842879,0.837,0.715,5.04E-71,0,Abracl
Hand2os1,2.44E-74,0.282619073,0.938,0.847,4.43E-70,0,Hand2os1
Col6a3,2.18E-73,0.254123927,0.998,0.911,3.97E-69,0,Col6a3
Btg2,1.30E-72,0.284829092,0.923,0.84,2.36E-68,0,Btg2
Gem,1.49E-72,0.404218045,0.8,0.682,2.71E-68,0,Gem
Prrx1,1.71E-72,0.275748796,0.601,0.449,3.11E-68,0,Prrx1
Mfap2,6.01E-72,0.303677056,0.714,0.573,1.09E-67,0,Mfap2
Plekhf1,4.08E-71,0.302662091,0.499,0.361,7.41E-67,0,Plekhf1
Arrdc3,7.52E-71,0.342496803,0.528,0.389,1.37E-66,0,Arrdc3
Map1lc3a,7.39E-70,0.253295624,0.938,0.862,1.34E-65,0,Map1lc3a
Slc40a1,4.86E-69,0.330219883,0.657,0.53,8.83E-65,0,Slc40a1
Irs2,1.92E-68,0.317081803,0.706,0.58,3.48E-64,0,Irs2
Mmp23,2.96E-68,0.276429989,0.728,0.601,5.38E-64,0,Mmp23
Hes1,4.28E-68,0.32643647,0.854,0.746,7.78E-64,0,Hes1
Id2,3.22E-67,0.380507153,0.734,0.61,5.85E-63,0,Id2
Clic5,3.75E-67,0.262010927,0.246,0.126,6.81E-63,0,Clic5
2310022B05Rik,2.85E-66,0.277272288,0.799,0.691,5.17E-62,0,2310022B05Rik
Hlx,3.71E-66,0.293961041,0.648,0.518,6.74E-62,0,Hlx
Cd59a,4.87E-66,0.282228448,0.448,0.312,8.85E-62,0,Cd59a
Adamts4,9.91E-65,0.334566288,0.498,0.364,1.80E-60,0,Adamts4
Rgs16,2.08E-64,0.417491767,0.504,0.365,3.79E-60,0,Rgs16
Gadd45a,1.40E-63,0.27921153,0.413,0.272,2.54E-59,0,Gadd45a
Arid5b,7.06E-63,0.277497577,0.79,0.7,1.28E-58,0,Arid5b
Tnfaip6,4.41E-62,0.338633265,0.537,0.401,8.02E-58,0,Tnfaip6
Tsc22d1,4.51E-62,0.254012973,0.914,0.831,8.19E-58,0,Tsc22d1
Sik1,2.43E-61,0.250650477,0.569,0.432,4.42E-57,0,Sik1
Npr3,2.69E-60,0.391222593,0.666,0.548,4.88E-56,0,Npr3
Ch25h,8.17E-60,0.363059955,0.408,0.276,1.48E-55,0,Ch25h
Efemp1,2.25E-58,0.289785549,0.571,0.437,4.09E-54,0,Efemp1
Ccn1,2.91E-57,0.261142393,0.95,0.876,5.28E-53,0,Ccn1
Fos,1.13E-56,0.276691263,0.993,0.964,2.05E-52,0,Fos
Sphk1,2.22E-56,0.289986473,0.418,0.297,4.03E-52,0,Sphk1
Chst15,9.59E-54,0.256676319,0.745,0.641,1.74E-49,0,Chst15
Gm34030,5.16E-53,0.26221022,0.586,0.471,9.37E-49,0,Gm34030
Rcan1,6.18E-52,0.353025586,0.445,0.323,1.12E-47,0,Rcan1
Dusp1,8.91E-51,0.257883584,0.921,0.848,1.62E-46,0,Dusp1
Metrnl,9.33E-51,0.277229424,0.644,0.538,1.70E-46,0,Metrnl
Hand2,3.06E-50,0.250904221,0.899,0.815,5.55E-46,0,Hand2
Cited2,1.29E-49,0.329178824,0.749,0.658,2.35E-45,0,Cited2
Cyp2e1,1.10E-48,0.267008808,0.148,0.066,2.00E-44,0,Cyp2e1
Gadd45g,6.45E-48,0.298460584,0.922,0.86,1.17E-43,0,Gadd45g
Meg3,9.20E-47,0.347280353,0.192,0.1,1.67E-42,0,Meg3
Nnat,1.82E-44,0.354909316,0.158,0.078,3.31E-40,0,Nnat
Apoc1,1.14E-43,0.359173204,0.526,0.422,2.07E-39,0,Apoc1
Ptgs2,1.51E-43,0.356361806,0.243,0.143,2.75E-39,0,Ptgs2
Vegfd,2.00E-37,0.271432664,0.361,0.262,3.63E-33,0,Vegfd
Bdnf,3.93E-36,0.342261265,0.233,0.147,7.14E-32,0,Bdnf
Maff,3.71E-34,0.275253411,0.499,0.414,6.74E-30,0,Maff
Fbxl22,4.91E-28,0.317031468,0.539,0.455,8.91E-24,0,Fbxl22
Plvap,0,0.688271474,0.965,0.474,0,1,Plvap
Vim,6.21E-298,0.556061582,0.998,0.974,1.13E-293,1,Vim
Reln,5.55E-269,0.664372006,0.975,0.638,1.01E-264,1,Reln
Lgals1,1.45E-260,0.702963459,0.998,0.954,2.63E-256,1,Lgals1
Rgs5,8.77E-260,0.327543347,0.78,0.3,1.59E-255,1,Rgs5
Tspo,9.61E-257,0.623439055,0.981,0.847,1.75E-252,1,Tspo
S100a10,2.50E-248,0.635778778,0.972,0.815,4.54E-244,1,S100a10
Anxa2,3.84E-248,0.612009197,0.973,0.816,6.98E-244,1,Anxa2
Col14a1,5.17E-244,0.559731406,0.999,0.876,9.38E-240,1,Col14a1
Tgfbi,4.49E-229,0.664777837,0.961,0.683,8.16E-225,1,Tgfbi
Tuba1a,7.71E-227,0.668406735,0.958,0.772,1.40E-222,1,Tuba1a
Rbp1,1.62E-216,0.454968137,1,0.965,2.95E-212,1,Rbp1
Nrxn1,8.97E-214,0.357734363,0.739,0.32,1.63E-209,1,Nrxn1
Robo2,6.94E-209,0.596788536,0.929,0.717,1.26E-204,1,Robo2
Dcn,1.03E-205,0.495602069,1,0.969,1.87E-201,1,Dcn
Ppp1r14a,1.02E-204,0.514070963,0.917,0.635,1.85E-200,1,Ppp1r14a
Ednrb,1.75E-198,0.582968985,0.94,0.688,3.18E-194,1,Ednrb
Lrat,2.37E-195,0.59502245,0.975,0.775,4.30E-191,1,Lrat
Ifitm3,4.57E-195,0.423787029,0.999,0.972,8.30E-191,1,Ifitm3
Ecm1,4.48E-193,0.433811734,0.98,0.826,8.14E-189,1,Ecm1
Col3a1,1.90E-185,0.53512096,1,0.969,3.44E-181,1,Col3a1
H2-D1,1.95E-185,0.48336587,0.997,0.932,3.55E-181,1,H2-D1
