"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cd74",8.88856099705312e-154,3.27223117918346,0.98,0.135,1.56020911181273e-149,"6","Cd74"
"Lyz2",2.99258170062614e-71,2.6973165746237,0.949,0.304,5.25287865910906e-67,"6","Lyz2"
"H2-Eb1",3.3290234275534e-157,2.39405678241917,0.879,0.093,5.84343482238448e-153,"6","H2-Eb1"
"C1qb",3.63053850752512e-238,2.1773034134976,0.859,0.053,6.37268424225885e-234,"6","C1qb"
"H2-Aa",1.66262368040075e-168,2.02680472312142,0.859,0.081,2.91840334620743e-164,"6","H2-Aa"
"C1qa",5.40121458431451e-261,2.01940314520964,0.828,0.043,9.48075195984725e-257,"6","C1qa"
"H2-Ab1",3.53497791273891e-124,1.99127010603727,0.828,0.103,6.20494673023061e-120,"6","H2-Ab1"
"Fcer1g",5.21842849084473e-194,1.64311378307918,0.737,0.047,9.15990752997976e-190,"6","Fcer1g"
"C1qc",1.82517911502376e-254,1.55906247193504,0.697,0.029,3.20373690060121e-250,"6","C1qc"
"Tyrobp",7.28321627194364e-215,1.44952539446575,0.707,0.037,1.27842295221427e-210,"6","Tyrobp"
"Ctss",6.26677238777059e-205,1.20651425798673,0.626,0.03,1.10000655722537e-200,"6","Ctss"
"Mt21",1.72459709062131e-07,1.10795165193311,0.727,0.514,0.00302718527316759,"6","Mt2"
"Cd52",1.12337626895936e-135,1.09260046572625,0.545,0.036,1.97186236490437e-131,"6","Cd52"
"Aif1",1.90108467079545e-122,0.807311769083361,0.444,0.025,3.33697392264725e-118,"6","Aif1"
"Mt11",4.82829711840761e-06,0.704268985334545,0.96,0.876,0.0847510993194087,"6","Mt1"
"Wfdc17",3.17841143190575e-117,0.685013467823098,0.343,0.015,5.57906558642416e-113,"6","Wfdc17"
"Ucp2",1.64989401806729e-23,0.679143098298616,0.636,0.227,2.89605896991352e-19,"6","Ucp2"
"Ccl4",3.1081835684289e-82,0.644426102697869,0.222,0.009,5.45579461766325e-78,"6","Ccl4"
"Sdc41",0.0062371242363795,0.641702086429598,0.758,0.686,1,"6","Sdc4"
"Ccl71",0.000186977935458375,0.633611328059385,0.242,0.119,1,"6","Ccl7"
"Ms4a7",1.16986969618034e-202,0.624976966979204,0.374,0.008,2.05347227770536e-198,"6","Ms4a7"
"Timp11",6.4609965481463e-05,0.599460946031999,0.848,0.744,1,"6","Timp1"
"Ctsh1",2.05233410997464e-45,0.577775601801428,0.434,0.065,3.60246206323848e-41,"6","Ctsh"
"Ccl192",0.000247839946385182,0.573402165765176,0.899,0.782,1,"6","Ccl19"
"Lgals31",1.06375978928828e-24,0.559197140177225,0.313,0.06,1.86721755813771e-20,"6","Lgals3"
"H2-DMa",7.96937091631849e-46,0.492490450688481,0.354,0.043,1.39886367694138e-41,"6","H2-DMa"
"Gngt2",2.3107271461279e-49,0.476500180634509,0.283,0.026,4.05601935959831e-45,"6","Gngt2"
"Trem2",6.56150637474677e-134,0.466930256728081,0.273,0.007,1.1517412139593e-129,"6","Trem2"
"Tnfaip22",0.00115154912120128,0.458158607995606,0.636,0.477,1,"6","Tnfaip2"
"Bcl2a1b",1.13003173419116e-67,0.445727721287743,0.253,0.015,1.98354470302574e-63,"6","Bcl2a1b"
"Gm128402",0.000356739673634621,0.437487109845783,0.788,0.68,1,"6","Gm12840"
"Trf",1.06925980533715e-05,0.432887223092323,0.778,0.6,0.187687173630831,"6","Trf"
"Vcam12",0.00119365239194196,0.432229947720923,0.939,0.81,1,"6","Vcam1"
"Laptm5",1.04239534028324e-130,0.416695326537804,0.253,0.006,1.82971654079917e-126,"6","Laptm5"
"Ly86",1.32236332194453e-104,0.415036710095949,0.232,0.007,2.32114433900923e-100,"6","Ly86"
"Ifi47",0.00291493806425096,0.410544145380408,0.354,0.23,1,"6","Ifi47"
"Aldh1a23",1.59915418429126e-05,0.396126706752014,0.717,0.503,0.280699533968644,"6","Aldh1a2"
"AW1120101",0.000596063172837124,0.383784418202711,0.737,0.545,1,"6","AW112010"
"H2-DMb1",6.29471983810634e-23,0.382554151456701,0.333,0.07,1.10491217318281e-18,"6","H2-DMb1"
