"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Gpx3",0,1.26905419198039,0.907,0.597,0,"0","Gpx3"
"Alcam",0,1.13217496274217,0.994,0.841,0,"0","Alcam"
"Igfbp4",0,1.03242199701974,0.987,0.799,0,"0","Igfbp4"
"Maf",1.27846826705022e-305,0.9851387366266,0.93,0.635,2.22453478466737e-301,"0","Maf"
"C4b",4.39599029854716e-260,0.949653833492019,0.963,0.798,7.64902311947207e-256,"0","C4b"
"Itga8",4.53241914637323e-195,0.723563519719208,0.946,0.748,7.88640931468941e-191,"0","Itga8"
"Klf9",2.42150355608147e-191,0.689563687071585,0.965,0.859,4.21341618758176e-187,"0","Klf9"
"Trf",2.86464737047084e-188,0.747222497750988,0.837,0.584,4.98448642461926e-184,"0","Trf"
"Plce1",1.96997940420824e-186,0.760490684179409,0.6,0.277,3.42776416332233e-182,"0","Plce1"
"Mmp2",9.88939179686384e-185,0.680096228725348,0.953,0.791,1.72075417265431e-180,"0","Mmp2"
"Wt1",3.51919828338829e-176,0.768585844600528,0.575,0.259,6.12340501309562e-172,"0","Wt1"
"Wnt4",2.3597018544542e-172,0.802538002461226,0.755,0.457,4.10588122675031e-168,"0","Wnt4"
"Cxcl12",1.2052887650103e-168,0.595924946275924,0.994,0.938,2.09720245111792e-164,"0","Cxcl12"
"Cebpd",1.23857316794681e-166,0.675413481207894,0.994,0.931,2.15511731222746e-162,"0","Cebpd"
"Selenop",3.63378729989055e-161,0.534268809386178,0.926,0.807,6.32278990180955e-157,"0","Selenop"
"Egr1",2.92749274908972e-156,0.645859919425499,0.969,0.879,5.09383738341612e-152,"0","Egr1"
"Tcf21",2.9520605568571e-149,0.652031697990485,0.969,0.862,5.13658536893136e-145,"0","Tcf21"
"Raph1",5.08955104013082e-148,0.565598976999113,0.973,0.894,8.85581880982762e-144,"0","Raph1"
"Lum",7.25764702108149e-141,0.48121177160768,0.998,0.947,1.26283058166818e-136,"0","Lum"
"Plekha6",1.72501687152688e-140,0.571639974660657,0.891,0.73,3.00152935645678e-136,"0","Plekha6"
