"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MT-CO16",5.33303477328801e-10,1.79263820043187,0.526,0.204,2.18665091774355e-05,"17","MT-CO1"
"SAA12",2.0881223845275e-07,1.78847779514596,0.281,0.089,0.00856171940103965,"17","SAA1"
"MT-ND4L5",0.0015294303814985,1.65134329146545,0.246,0.115,1,"17","MT-ND4L"
"C53",0.00773956906604106,1.55424061158107,0.193,0.093,1,"17","C5"
"CH507-513H4.12",6.28291278065414e-09,1.55405354791648,0.298,0.085,0.000257611989832381,"17","CH507-513H4.1"
"MT-ND56",2.67172879997097e-06,1.55222323171365,0.316,0.115,0.10954622425641,"17","MT-ND5"
"MT-CO25",3.50469874347366e-09,1.55195313354054,0.474,0.183,0.000143699657879907,"17","MT-CO2"
"FTL4",0.00155559722766897,1.54264616511906,0.228,0.1,1,"17","FTL"
"APOE3",0.000331192483092415,1.5365153740671,0.211,0.08,1,"17","APOE"
"MT-ND25",3.73533799753048e-08,1.51466542934602,0.368,0.126,0.00153156328574745,"17","MT-ND2"
"MT-CYB4",1.28077347376324e-07,1.45761095146618,0.456,0.201,0.00525142739712404,"17","MT-CYB"
"TMSB4X3",0.000547126411471478,1.4166918243877,0.316,0.158,1,"17","TMSB4X"
"AMBP3",0.0059369693609019,1.35661564131729,0.175,0.079,1,"17","AMBP"
"MT-ND46",2.60388607966634e-05,1.34178012297325,0.351,0.16,1,"17","MT-ND4"
"CYP2E12",0.00318674643344712,1.29820351118935,0.193,0.085,1,"17","CYP2E1"
"APOA11",9.60235850349282e-09,1.25049363757475,0.298,0.085,0.000393715903360212,"17","APOA1"
"MT-ATP64",7.06553814575172e-06,1.21008063063555,0.526,0.286,0.289701195052112,"17","MT-ATP6"
"FGA2",7.17151171869888e-10,1.19013075276471,0.386,0.118,2.94046323490091e-05,"17","FGA"
"APOC33",2.10654596603665e-06,1.17912843139353,0.263,0.086,0.0863725976994346,"17","APOC3"
"CH507-528H12.12",5.32197321045255e-07,1.16970516987227,0.316,0.109,0.0218211545574975,"17","CH507-528H12.1"
"ACTB3",0.000303179612549811,1.15085808928892,0.351,0.184,1,"17","ACTB"
"MT-CO36",2.04248855643224e-07,1.14978351661779,0.491,0.214,0.00837461157908346,"17","MT-CO3"
"AC113414.1",6.4153327564068e-07,1.14865181404302,0.123,0.023,0.0263041473678192,"17","AC113414.1"
"CNGB32",6.58789054060624e-05,1.14190262766873,0.105,0.024,1,"17","CNGB3"
"LAMP13",0.00712309691013745,1.10924720346009,0.228,0.118,1,"17","LAMP1"
"ALB2",6.21574730486329e-09,1.10710097615319,0.579,0.256,0.000254858070994005,"17","ALB"
"SERPINA14",3.54950399575466e-07,1.07558444083293,0.368,0.135,0.0145536762833932,"17","SERPINA1"
"APOB2",0.00222989705274589,0.994162803139525,0.263,0.126,1,"17","APOB"
"RPL194",0.00247197318278718,0.982271436652069,0.14,0.052,1,"17","RPL19"
"MLXIPL3",3.32329064258497e-05,0.947777823767955,0.246,0.091,1,"17","MLXIPL"
"IQGAP25",2.74230669161431e-05,0.940221290155223,0.333,0.147,1,"17","IQGAP2"
"SHANK22",2.02377945365841e-06,0.930341521054451,0.281,0.097,0.082979005158902,"17","SHANK2"
"LARP1B3",0.00134403851483461,0.92478656371426,0.386,0.235,1,"17","LARP1B"
"COL8A16",0.000344504476086774,0.924281567703644,0.246,0.103,1,"17","COL8A1"
"RPL121",0.00498389730845938,0.898826417075678,0.123,0.047,1,"17","RPL12"
"MARCH12",0.00123958905381961,0.89123899676741,0.123,0.039,1,"17","MARCH1"
