"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"KCNQ55",3.33675113377887e-11,1.87338148910671,0.323,0.041,1.36813469987201e-06,"34","KCNQ5"
"ASPM3",1.16789552901253e-10,1.51476920103191,0.323,0.049,4.78860524805718e-06,"34","ASPM"
"AC114485.19",3.86355610398653e-08,1.27828251179553,0.452,0.109,0.00158413527375656,"34","AC114485.1"
"CYP3A75",1.97040507039961e-07,1.2778572054412,0.387,0.095,0.0080790548696525,"34","CYP3A7"
"AC106729.19",2.8944929906812e-07,1.22993267561699,0.419,0.107,0.0118680001603911,"34","AC106729.1"
"CNTNAP210",1.85039509504016e-05,1.22354548536918,0.452,0.175,0.758698996868365,"34","CNTNAP2"
"MCTP26",1.52808967706096e-10,1.2185432072627,0.613,0.166,6.26547329388534e-06,"34","MCTP2"
"MIR924HG6",2.14538841768956e-09,1.20239417774229,0.452,0.095,8.79652159021072e-05,"34","MIR924HG"
"ERVMER61-13",9.61740973678214e-13,1.19614571315599,0.29,0.026,3.94333034027541e-08,"34","ERVMER61-1"
"H195",0.000533933933764992,1.18605142516757,0.29,0.084,1,"34","H19"
"LINC0157210",3.63874405208767e-06,1.12036147296305,0.516,0.179,0.149195783623699,"34","LINC01572"
"EZH24",0.00132224621955143,1.09630355078322,0.355,0.137,1,"34","EZH2"
"SKAP15",7.54162648147257e-20,1.0802318234425,0.968,0.244,3.09221768993339e-15,"34","SKAP1"
"AL078590.26",1.87448357558749e-07,1.06964634237925,0.387,0.093,0.00768575755662383,"34","AL078590.2"
"NEDD4L10",0.00125836668344907,1.06479471022881,0.677,0.432,1,"34","NEDD4L"
"AC012494.19",1.39279127763701e-09,1.04209746595332,0.452,0.101,5.71072279656725e-05,"34","AC012494.1"
"PPP2R2B5",3.87689390796167e-19,1.02570235295864,0.548,0.06,1.58960404014244e-14,"34","PPP2R2B"
"LINC021639",2.54148091888337e-10,1.02538054556596,0.581,0.158,1.04205800636056e-05,"34","LINC02163"
"ITGA47",8.25482872965574e-13,1.02402489186402,0.548,0.084,3.38464487573345e-08,"34","ITGA4"
"DIAPH33",0.00417455596268775,1.00851555987594,0.161,0.05,1,"34","DIAPH3"
"ARHGAP157",1.76219624729868e-18,1.00592161238273,0.935,0.198,7.22535705317407e-14,"34","ARHGAP15"
"HSD11B1-AS16",8.21015565178229e-05,1.0005383390345,0.226,0.058,1,"34","HSD11B1-AS1"
"CD2475",3.19641544794039e-29,0.992717893019599,0.645,0.064,1.31059426196452e-24,"34","CD247"
"ADAM236",2.3885073703415e-06,0.984314608439513,0.323,0.092,0.0979335791987424,"34","ADAM23"
"KIF153",3.80571202963183e-09,0.98078596209336,0.161,0.023,0.000156041804638964,"34","KIF15"
"KNL13",3.81429493628635e-16,0.975651080059984,0.387,0.051,1.56393720977613e-11,"34","KNL1"
"SAMD34",1.44197489259882e-23,0.956752861007232,0.484,0.051,5.91238545463366e-19,"34","SAMD3"
"PRKCH7",9.44121129774031e-12,0.944302824258552,0.839,0.261,3.87108545629948e-07,"34","PRKCH"
"AC092957.111",4.64697902722454e-10,0.94415556351481,0.548,0.124,1.90535434074261e-05,"34","AC092957.1"
"LINC008619",8.294936797737e-14,0.937501479818283,0.548,0.105,3.40108998580812e-09,"34","LINC00861"
"PTPRC6",1.15983275602834e-22,0.937276523791012,0.935,0.15,4.75554626626742e-18,"34","PTPRC"
"AC093515.16",5.13910267565442e-10,0.932383976614693,0.452,0.093,2.10713487907183e-05,"34","AC093515.1"
"KCNMB2-AS19",1.02901806403068e-05,0.931303276849399,0.452,0.162,0.421917986613858,"34","KCNMB2-AS1"
"ZFPM2-AS110",1.37566472182846e-05,0.930121165070899,0.419,0.144,0.564050049244104,"34","ZFPM2-AS1"
"AC105411.15",2.04710060329574e-10,0.923498057949006,0.387,0.069,8.39352189363318e-06,"34","AC105411.1"
"SACM1L5",6.37635280841928e-10,0.916778953065027,0.71,0.247,2.61443217850807e-05,"34","SACM1L"
"CENPP7",6.33716527875693e-05,0.913675499147698,0.516,0.227,1,"34","CENPP"
