"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","response to molecule of bacterial origin (GO:0002237)","14/243",3.89171427402814e-10,7.63943511991725e-07,0,0,10.8204099295802,234.445834733652,"JUN;KCNJ8;NR1H4;ADM;FOS;NGF;DCN;ICAM1;BCR;NFKBIA;EDNRA;EDNRB;CCL2;B2M"
"2","response to mechanical stimulus (GO:0009612)","12/176",1.10008999145108e-09,1.07973832660923e-06,0,0,12.763436218433,263.282552207356,"EGR1;EDNRA;JUN;BTG2;CXCL12;NRXN1;CCL2;FOS;NGF;ETS1;JUNB;DCN"
"3","response to lipopolysaccharide (GO:0032496)","13/228",1.93621130699376e-09,1.26692759854292e-06,0,0,10.6137873754153,212.939456373685,"JUN;KCNJ8;NR1H4;ADM;FOS;NGF;DCN;ICAM1;BCR;NFKBIA;EDNRA;EDNRB;CCL2"
"4","angiogenesis (GO:0001525)","13/236",2.94231138129215e-09,1.44393931036912e-06,0,0,10.2288597053171,200.936439962115,"JUN;ECM1;CALCRL;EPAS1;NRXN1;GDF2;ETS1;ADRA2B;APOLD1;ANGPTL6;CCL2;TGFBI;RAMP1"
"5","negative regulation of locomotion (GO:0040013)","12/204",5.89365045848275e-09,2.31384717000033e-06,0,0,10.8866150442478,206.294717073216,"IFITM3;BCR;BST2;IFITM1;BMP10;CXCL12;IGFBP3;SEMA6D;GDF2;CCL2;APOE;BMP5"
"6","negative regulation of cell migration (GO:0030336)","11/166",7.56968137061740e-09,2.47654742175366e-06,0,0,12.2761743067346,229.553593420819,"BCR;BST2;IFITM1;BMP10;CXCL12;IGFBP3;SEMA6D;GDF2;CCL2;APOE;BMP5"
"7","negative regulation of cell motility (GO:2000146)","11/170",9.71062029424034e-09,2.72313537679911e-06,0,0,11.9649122807018,220.753178072504,"BCR;BST2;IFITM1;BMP10;CXCL12;IGFBP3;SEMA6D;GDF2;CCL2;APOE;BMP5"
"8","negative regulation of cellular component movement (GO:0051271)","11/183",2.08952048293401e-08,5.12716088499933e-06,0,0,11.0532945736434,195.463655232187,"BCR;BST2;IFITM1;BMP10;CXCL12;IGFBP3;SEMA6D;GDF2;CCL2;APOE;BMP5"
"9","response to interferon-alpha (GO:0035455)","5/17",5.1265555031223e-08,1.11815871695879e-05,0,0,68.96875,1157.72645568902,"IFITM3;IFNAR2;BST2;IFITM1;IFIT3"
"10","aging (GO:0007568)","11/204",6.38422875584569e-08,1.25322410477251e-05,0,0,9.84010544495955,163.019551400194,"EDNRA;JUN;EDNRB;CCL2;ADM;PRELP;APOE;PTH1R;FOS;DCN;ICAM1"
"11","regulation of leukocyte migration (GO:0002685)","8/110",4.46691661705973e-07,7.97141574480751e-05,0,0,13.2549019607843,193.805187412349,"PLVAP;EDNRA;ECM1;CXCL12;RARRES2;CCL2;ICAM1;BMP5"
"12","cellular response to cytokine stimulus (GO:0071345)","14/471",1.50235514725808e-06,0.000243260253075325,0,0,5.35911841819938,71.8576138159478,"IFITM3;IFNAR2;EGR1;IFITM1;PLVAP;ISG15;IFIT3;ICAM1;CXCL12;CCL2;APOE;B2M;TNFRSF21;PF4"
"13","cytokine-mediated signaling pathway (GO:0019221)","12/342",1.61099505347898e-06,0.000243260253075325,0,0,6.28962188254224,83.8951185378205,"IFITM3;IFNAR2;EGR1;IFITM1;PLVAP;CXCL12;CCL2;ISG15;B2M;IFIT3;ICAM1;PF4"
"14","response to hypoxia (GO:0001666)","10/241",2.82829780364065e-06,0.000378219809752247,0,0,7.39469226425748,94.4733720158514,"EGR1;EDNRA;CXCL12;EPAS1;CCL2;ADM;ETS1;SOD3;APOLD1;ICAM1"
"15","cellular response to type I interferon (GO:0071357)","6/65",3.22734445544811e-06,0.000378219809752247,0,0,16.93433983763,214.115268147579,"IFITM3;IFNAR2;EGR1;IFITM1;ISG15;IFIT3"
"16","type I interferon signaling pathway (GO:0060337)","6/65",3.22734445544811e-06,0.000378219809752247,0,0,16.93433983763,214.115268147579,"IFITM3;IFNAR2;EGR1;IFITM1;ISG15;IFIT3"
"17","response to decreased oxygen levels (GO:0036293)","10/245",3.27546447569445e-06,0.000378219809752247,0,0,7.26734505087882,91.7796703685951,"EGR1;EDNRA;CXCL12;EPAS1;CCL2;ADM;ETS1;SOD3;APOLD1;ICAM1"
"18","response to type I interferon (GO:0034340)","6/66",3.53204313472765e-06,0.00038518892630391,0,0,16.6512605042017,209.033831053217,"IFITM3;IFNAR2;EGR1;IFITM1;ISG15;IFIT3"
"19","response to virus (GO:0009615)","10/250",3.91987513363712e-06,0.000404984994069982,0,0,7.11413043478261,88.5670165361859,"IFITM3;IFNAR2;BST2;IFITM1;CXCL12;KCNJ8;ISG15;ABCC9;IFIT3;ICAM1"
"20","regulation of epithelial cell proliferation (GO:0050678)","10/258",5.18027294686985e-06,0.000501047396513129,0,0,6.88183730715288,83.7564525646341,"EDNRA;JUN;ECM1;EDNRB;CXCL12;GDF2;WFDC1;CCL2;APOE;BMP5"
"21","response to oxygen levels (GO:0070482)","10/259",5.36016063513791e-06,0.000501047396513129,0,0,6.85385018334206,83.1818666206044,"EGR1;EDNRA;CXCL12;EPAS1;CCL2;ADM;ETS1;SOD3;APOLD1;ICAM1"
