"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","extracellular matrix organization (GO:0030198)","30/359",3.14827316610385e-30,2.6590164543393e-27,0,0,29.758358662614,2021.50609577547,"FBN2;COL15A1;ITGB5;ELN;TNC;DPT;THBS1;LOXL1;CTSK;SPP1;SERPINH1;NCAM1;TIMP1;TGFB3;MMP2;COL1A1;MFAP4;MMP14;COL3A1;COL1A2;LOX;CRISPLD2;COL6A2;COL6A1;COL5A2;MFAP2;COL6A3;COL8A1;COL4A5;GAS6"
"2","extracellular structure organization (GO:0043062)","30/360",3.42436117751359e-30,2.6590164543393e-27,0,0,29.6666666666667,2012.78358963953,"FBN2;COL15A1;ITGB5;ELN;TNC;DPT;THBS1;LOXL1;CTSK;SPP1;SERPINH1;NCAM1;TIMP1;TGFB3;MMP2;COL1A1;MFAP4;MMP14;COL3A1;COL1A2;LOX;CRISPLD2;COL6A2;COL6A1;COL5A2;MFAP2;COL6A3;COL8A1;COL4A5;GAS6"
"3","extracellular matrix disassembly (GO:0022617)","17/116",1.85033008062791e-21,9.57854205071716e-19,0,0,46.6012176560122,2224.69193708713,"FBN2;COL15A1;ELN;MMP2;COL1A1;MMP14;COL3A1;COL1A2;CTSK;COL6A2;COL6A1;COL5A2;SPP1;COL6A3;COL8A1;COL4A5;TIMP1"
"4","collagen metabolic process (GO:0032963)","14/83",9.98717876687176e-19,3.87752215623796e-16,0,0,52.9698703279939,2195.48536579107,"COL15A1;MMP2;COL1A1;MMP14;COL3A1;COL1A2;CTSK;COL6A2;COL6A1;COL5A2;SERPINH1;COL4A5;COL8A1;COL6A3"
"5","multicellular organismal macromolecule metabolic process (GO:0044259)","14/89",2.82136377533915e-18,8.7631558862034e-16,0,0,48.7175438596491,1968.64239547745,"COL15A1;MMP2;COL1A1;MMP14;COL3A1;COL1A2;CTSK;COL6A2;COL6A1;COL5A2;SERPINH1;COL4A5;COL8A1;COL6A3"
"6","multicellular organismal metabolic process (GO:0044236)","14/94",6.32848907705231e-18,1.63802392277704e-15,0,0,45.6611842105263,1808.25002392119,"COL15A1;MMP2;COL1A1;MMP14;COL3A1;COL1A2;CTSK;COL6A2;COL6A1;COL5A2;SERPINH1;COL6A3;COL8A1;COL4A5"
"7","collagen catabolic process (GO:0030574)","13/74",1.05378238448328e-17,2.33789149014647e-15,0,0,54.9365552480307,2147.55567964619,"COL15A1;MMP2;COL1A1;MMP14;COL3A1;COL1A2;CTSK;COL6A2;COL6A1;COL5A2;COL4A5;COL8A1;COL6A3"
"8","multicellular organismal catabolic process (GO:0044243)","13/80",3.10560372944672e-17,6.02875323978845e-15,0,0,50.0017445241326,1900.60323297996,"COL15A1;MMP2;COL1A1;MMP14;COL3A1;COL1A2;CTSK;COL6A2;COL6A1;COL5A2;COL4A5;COL8A1;COL6A3"
"9","cellular component disassembly (GO:0022411)","20/350",7.07239330033585e-17,1.22038075504684e-14,0,0,16.952380952381,630.420864811492,"FBN2;COL15A1;GSN;ELN;MMP2;COL1A1;MMP14;COL3A1;COL1A2;CTSK;COL6A2;COL6A1;LMNA;COL5A2;SPP1;COL6A3;COL8A1;COL4A5;TIMP1;VIM"
"10","response to wounding (GO:0009611)","11/167",2.3247929394254e-10,3.61040343492764e-08,0,0,17.6317753975982,391.111920034568,"COL3A1;LGALS1;LOX;MDK;DPYSL3;F2R;TNC;PLAT;TIMP1;NREP;TGFBR2"
"11","collagen fibril organization (GO:0030199)","7/41",5.84915834575769e-10,8.25794810087427e-08,0,0,49.3026222537208,1048.15171831463,"COL1A1;COL3A1;COL1A2;LOX;COL5A2;SERPINH1;DPT"
"12","cellular response to amino acid stimulus (GO:0071230)","6/45",4.9598293397296e-08,6.41884580383339e-06,0,0,36.3937728937729,612.1181269384,"COL1A1;COL3A1;COL1A2;MMP2;COL5A2;COL6A1"
"13","response to transforming growth factor beta (GO:0071559)","9/166",5.97467658803347e-08,6.62762338658285e-06,0,0,13.9794762915782,232.522736915113,"COL1A1;COL3A1;COL1A2;ITGB5;TGFB3;PMEPA1;LTBP2;RUNX1;TGFBR2"
"14","cellular response to transforming growth factor beta stimulus (GO:0071560)","9/166",5.97467658803347e-08,6.62762338658285e-06,0,0,13.9794762915782,232.522736915113,"COL1A1;COL3A1;COL1A2;ITGB5;TGFB3;PMEPA1;LTBP2;RUNX1;TGFBR2"
"15","endodermal cell differentiation (GO:0035987)","5/26",1.00668303633282e-07,1.04225250361658e-05,0,0,55.7114845938375,897.591954269614,"MMP14;ITGB5;MMP2;COL6A1;COL8A1"
"16","response to amino acid (GO:0043200)","7/86",1.18705728252719e-07,1.12811620373197e-05,0,0,21.1708098215647,337.602822866094,"COL1A1;COL3A1;GSN;COL1A2;MMP2;COL6A1;COL5A2"
"17","protein heterotrimerization (GO:0070208)","4/11",1.23489861322881e-07,1.12811620373197e-05,0,0,132.24584717608,2103.64881208275,"COL1A1;COL1A2;COL6A2;COL6A1"
"18","response to carbohydrate (GO:0009743)","8/139",2.13280041389594e-07,1.84013280154466e-05,0,0,14.7302178365295,226.265864767283,"COLEC12;LGALS1;COL6A2;COL6A3;ILDR2;GAS6;THBS1;TGFBR2"
"19","cellular response to acid chemical (GO:0071229)","8/147",3.27810281202845e-07,2.67941771951589e-05,0,0,13.8768204948237,207.192458945565,"COL1A1;COL3A1;COL1A2;MMP2;ALDH1A2;COL6A1;COL5A2;TNC"
"20","platelet activation (GO:0030168)","9/205",3.61147364948275e-07,2.80430928882335e-05,0,0,11.1757369614512,165.7806557636,"COL1A1;COL3A1;COL1A2;TGFB3;F2R;TIMP1;IGF1;GAS6;THBS1"
