"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Sepp11",6.0478551239673e-176,2.71710659618476,0.347,0.025,1.14032308362404e-171,"18","Sepp1"
"Cml2",3.38307423229842e-231,1.60929827112175,0.332,0.015,6.37878646499866e-227,"18","Cml2"
"Cyp7a11",1.42960357262746e-148,1.27328334454968,0.608,0.095,2.69551753618908e-144,"18","Cyp7a1"
"Cyp2e12",4.97830340482213e-44,1.2642369631416,0.862,0.486,9.38659106979212e-40,"18","Cyp2e1"
"Cyp1a22",7.24057241917871e-71,1.24969702645272,0.981,0.533,1.36520992963615e-66,"18","Cyp1a2"
"Aes1",2.1212035084357e-172,1.22656695889792,0.328,0.021,3.99952921515551e-168,"18","Aes"
"Adh1",2.78645901222701e-83,1.20116472149077,0.996,0.729,5.25386846755402e-79,"18","Adh1"
"Csad1",3.34214955948543e-104,1.17941486759013,0.537,0.101,6.30162299440977e-100,"18","Csad"
"Cyp2c292",4.67085254100151e-35,1.15879391123665,0.922,0.732,8.80689246605835e-31,"18","Cyp2c29"
"Cps12",2.54068624433563e-75,1.13370210050562,0.996,0.747,4.79046391369483e-71,"18","Cps1"
"Gnb2l1",1.99598393112519e-180,1.13124623268655,0.328,0.02,3.76342770213654e-176,"18","Gnb2l1"
"Hrsp12",1.2483733347682e-178,1.10643504942942,0.325,0.02,2.35380792270543e-174,"18","Hrsp12"
"Acly",2.02895799533652e-87,1.09823225444478,0.899,0.302,3.82560030020701e-83,"18","Acly"
"Gulo3",1.25874070001983e-67,1.062346958232,0.922,0.373,2.37335558988739e-63,"18","Gulo"
"Hmgcs1",2.70379328015099e-65,1.05132712225369,0.858,0.336,5.09800222972468e-61,"18","Hmgcs1"
"Usmg51",1.06365241253813e-152,1.03130070387231,0.321,0.023,2.00551662384065e-148,"18","Usmg5"
"2010107E04Rik1",7.45540851364618e-157,1.03038681832359,0.328,0.024,1.40571727524799e-152,"18","2010107E04Rik"
"Cyp2c502",4.95946327000642e-75,1.02781490689253,0.858,0.307,9.35106799559711e-71,"18","Cyp2c50"
"Hspa52",1.48214575156947e-66,1.01055951018875,0.993,0.568,2.79458581458424e-62,"18","Hspa5"
"P4hb2",2.97803585209143e-72,0.995914571554412,0.996,0.624,5.61508659911838e-68,"18","P4hb"
"Calr2",5.71967530373788e-57,0.982038096136066,0.966,0.54,1.07844477851978e-52,"18","Calr"
"Adck3",2.07000864856367e-250,0.964828672279229,0.302,0.01,3.90300130686679e-246,"18","Adck3"
"Ces1d1",1.29898693837312e-62,0.96236764927802,0.914,0.382,2.44923987230252e-58,"18","Ces1d"
"Cat",3.83262585824544e-74,0.956235973775958,1,0.868,7.22641605572177e-70,"18","Cat"
"Cml1",3.8462284923003e-236,0.95608587871399,0.287,0.01,7.25206382223221e-232,"18","Cml1"
"Shfm11",3.95959421567304e-161,0.942615324288759,0.306,0.02,7.46581489365152e-157,"18","Shfm1"
"Ces1g2",1.61717133549802e-87,0.939667990844604,0.862,0.272,3.04917655308151e-83,"18","Ces1g"
"Slc10a12",4.57705388581201e-68,0.933551921427444,0.933,0.374,8.63003510169855e-64,"18","Slc10a1"
"Ces1c1",2.05323524190583e-42,0.89151108668321,0.993,0.667,3.87137504861344e-38,"18","Ces1c"
"Serpina3k2",8.1571203149679e-84,0.88853334384987,1,0.981,1.5380250353872e-79,"18","Serpina3k"
"Msmo11",2.29990335841502e-110,0.880620547774719,0.698,0.15,4.33646778229151e-106,"18","Msmo1"
"Ces3a2",7.45235150285597e-50,0.874541603523642,0.944,0.494,1.40514087586349e-45,"18","Ces3a"
"Rnase42",2.35551956568195e-46,0.862875693338199,0.985,0.619,4.44133214109332e-42,"18","Rnase4"
