"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","mitotic cell cycle (GO:0000278)","14/404",4.75879611679823e-14,3.08369988368525e-11,0,0,25.0871794871795,769.579249644191,"TOP2A;HSP90AA1;UBE2C;ESCO2;TUBB4B;CENPA;SMC4;CDC20;CCNB1;CENPF;CDK1;BIRC5;KIF20A;SPC25"
"2","microtubule-based process (GO:0007017)","13/437",3.10918044741057e-12,1.00737446496103e-09,0,0,20.6524072869226,547.21985425679,"TUBB4B;CENPA;TUBA1C;TUBA1B;TUBB6;RACGAP1;PRC1;STMN1;NUSAP1;CDK1;BIRC5;KIF20A;SPC25"
"3","cellular protein complex assembly (GO:0043623)","10/256",1.01666067659832e-10,2.19598706145237e-08,0,0,25.0406504065041,576.168526513996,"TUBA1C;TUBA1B;TUBB6;HSP90AA1;CENPF;RACGAP1;UBE2C;UBE2S;TUBB4B;CENPA"
"4","cytokinesis (GO:0000910)","7/79",2.75951960012631e-10,4.47042175220462e-08,0,0,55.2388888888889,1215.85182198021,"RACGAP1;PRC1;NUSAP1;CKAP2;BIRC5;KIF20A;ECT2"
"5","chromosome segregation (GO:0007059)","7/89",6.4594897813587e-10,8.37149875664088e-08,0,0,48.4780487804878,1025.81008452589,"TOP2A;CENPF;NUSAP1;BIRC5;ESCO2;SMC4;SPC25"
"6","microtubule cytoskeleton organization (GO:0000226)","9/245",1.68135180855849e-09,1.81585995324317e-07,0,0,22.791217257319,460.466180381496,"TUBA1B;PRC1;STMN1;NUSAP1;CDK1;BIRC5;KIF20A;CENPA;SPC25"
"7","regulation of cell cycle process (GO:0010564)","11/481",3.03392683079849e-09,2.80854940908203e-07,0,0,14.7129718599863,288.571521052436,"TOP2A;CDC20;TPX2;CCNB1;CENPF;RACGAP1;UBE2C;NUSAP1;CDK1;BIRC5;ECT2"
"8","regulation of chromosome segregation (GO:0051983)","6/63",3.67387763242535e-09,2.91433004529273e-07,0,0,58.1900584795322,1130.16837235046,"CDC20;CCNB1;CENPF;RACGAP1;UBE2C;ECT2"
"9","protein polymerization (GO:0051258)","6/64",4.04768061846213e-09,2.91433004529273e-07,0,0,57.183908045977,1105.08598837022,"TUBA1C;TUBA1B;TUBB6;UBE2C;UBE2S;TUBB4B"
"10","nuclear division (GO:0000280)","9/298",9.29452009078247e-09,6.02284901882704e-07,0,0,18.5614973262032,343.273377451494,"CDC20;TPX2;CENPF;CDCA3;CKS2;CDK1;BIRC5;MKI67;SPC25"
"11","organelle fission (GO:0048285)","9/325",1.96826909263559e-08,1.15948942911624e-06,0,0,16.9522439585731,300.792585177064,"CDC20;TPX2;CENPF;CDCA3;CKS2;CDK1;BIRC5;MKI67;SPC25"
"12","spindle checkpoint (GO:0031577)","5/41",2.26218976542706e-08,1.22158247333061e-06,0,0,74.7822822822823,1316.49328242156,"CDC20;CCNB1;CENPF;UBE2C;BIRC5"
"13","cell cycle checkpoint (GO:0000075)","7/156",3.2918226510234e-08,1.64084698297167e-06,0,0,26.5892617449664,458.112754353053,"TOP2A;CDC20;CCNB1;CENPF;UBE2C;CDK1;BIRC5"
"14","regulation of microtubule cytoskeleton organization (GO:0070507)","6/100",6.08752485044758e-08,2.81765435935002e-06,0,0,35.2198581560284,585.1581910271,"TPX2;CCNB1;RACGAP1;STMN1;CKAP2;ECT2"
"15","mitotic cell cycle checkpoint (GO:0007093)","6/103",7.26808056958505e-08,3.13981080606074e-06,0,0,34.1254295532646,560.926118481995,"TOP2A;CDC20;CCNB1;CENPF;UBE2C;CDK1"
"16","regulation of mitotic cell cycle (GO:0007346)","9/391",9.59242172920566e-08,3.88493080032829e-06,0,0,13.9762018086625,225.851331238287,"TOP2A;CDC20;TPX2;CCNB1;CENPF;UBE2C;NUSAP1;CDK1;BIRC5"
"17","regulation of microtubule-based process (GO:0032886)","6/124",2.19737654194585e-07,8.375882348123e-06,0,0,28.0225988700565,429.609740995314,"TPX2;CCNB1;RACGAP1;STMN1;CKAP2;ECT2"
"18","chromosome condensation (GO:0030261)","4/29",3.83963291486522e-07,1.38226784935148e-05,0,0,83.9284210526316,1239.8509705898,"TOP2A;NUSAP1;CDK1;SMC4"
"19","G2/M transition of mitotic cell cycle (GO:0000086)","6/139",4.317429369645e-07,1.39884711576498e-05,0,0,24.84335839599,364.090236057575,"CCNB1;HSP90AA1;CENPF;CDK1;BIRC5;TUBB4B"
"20","cell cycle G2/M phase transition (GO:0044839)","6/139",4.317429369645e-07,1.39884711576498e-05,0,0,24.84335839599,364.090236057575,"CCNB1;HSP90AA1;CENPF;CDK1;BIRC5;TUBB4B"
"21","regulation of cell division (GO:0051302)","7/234",5.22308516363244e-07,1.61169485049229e-05,0,0,17.384140969163,251.461727694413,"CDC20;CENPF;RACGAP1;UBE2C;NUSAP1;BIRC5;ECT2"
"22","mitotic nuclear division (GO:0007067)","7/240",6.19264662973188e-07,1.82401591639375e-05,0,0,16.931330472103,242.028849961648,"CDC20;TPX2;CENPF;CDCA3;CDK1;BIRC5;SPC25"
"23","anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031145)","5/82",7.73201141368695e-07,2.17841017220398e-05,0,0,34.8911898911899,491.014176556721,"CDC20;CCNB1;UBE2C;UBE2S;CDK1"
"24","mitotic spindle checkpoint (GO:0071174)","4/36",9.42199300894902e-07,2.44218058791959e-05,0,0,65.5460526315789,909.454692850402,"CDC20;CCNB1;CENPF;UBE2C"
"25","DNA packaging (GO:0006323)","4/36",9.42199300894902e-07,2.44218058791959e-05,0,0,65.5460526315789,909.454692850402,"TOP2A;NUSAP1;CDK1;SMC4"
"26","positive regulation of ubiquitin-protein transferase activity (GO:0051443)","5/87",1.03902754213588e-06,2.58957633578481e-05,0,0,32.7554383651945,451.279055398547,"CDC20;CCNB1;UBE2C;UBE2S;CDK1"
"27","positive regulation of ligase activity (GO:0051351)","5/92",1.37223500583949e-06,3.24972597775278e-05,0,0,30.8651755203479,416.651157388802,"CDC20;CCNB1;UBE2C;UBE2S;CDK1"
"28","regulation of attachment of spindle microtubules to kinetochore (GO:0051988)","3/11",1.4042025829796e-06,3.24972597775278e-05,0,0,191.826923076923,2585.06747508955,"CCNB1;RACGAP1;ECT2"
"29","positive regulation of cell cycle (GO:0045787)","7/278",1.65417086231599e-06,3.6962162716578e-05,0,0,14.5291512915129,193.415122764793,"CCNB1;RACGAP1;UBE2C;NUSAP1;CDK1;BIRC5;ECT2"
"30","DNA conformation change (GO:0071103)","5/99",1.97434603097251e-06,4.26458742690063e-05,0,0,28.5566417481311,375.099294977128,"TOP2A;HMGB2;NUSAP1;CDK1;SMC4"
"31","positive regulation of mitotic cell cycle (GO:0045931)","5/103",2.4016522211612e-06,4.76546277211518e-05,0,0,27.3855488141202,354.351300511825,"CCNB1;UBE2C;NUSAP1;CDK1;BIRC5"
"32","regulation of ubiquitin-protein transferase activity (GO:0051438)","5/103",2.4016522211612e-06,4.76546277211518e-05,0,0,27.3855488141202,354.351300511825,"CDC20;CCNB1;UBE2C;UBE2S;CDK1"
"33","kinetochore organization (GO:0051383)","3/13",2.42685604135495e-06,4.76546277211518e-05,0,0,153.446153846154,1983.89211879736,"CENPF;SMC4;CENPA"
"34","negative regulation of mitotic cell cycle phase transition (GO:1901991)","6/192",2.84828206400542e-06,5.42849052198681e-05,0,0,17.7168458781362,226.222764737437,"TOP2A;CDC20;CCNB1;CENPF;UBE2C;CDK1"
"35","regulation of ligase activity (GO:0051340)","5/108",3.03461127115389e-06,5.61836601059349e-05,0,0,26.049593282603,330.971211657746,"CDC20;CCNB1;UBE2C;UBE2S;CDK1"
